섹터,소분류1,소분류2,소분류3,기업,기업_코드포함
건설용 ,부품,,,"진성티이씨, 동일금속, 대창단조, 디와이파워, 흥국, 프리엠스","진성티이씨 (036890), 동일금속 (109860), 대창단조 (015230), 디와이파워 (210540), 흥국 (010240), 프리엠스 (053160)"
건설용 ,장비,,,"두산밥캣, 두산에너빌리티, HD현대인프라코어, HD현대건설기계, 수산종공업, 현대에버다임, 대모, 스페코, 수성웹툰, 전진건설로봇","두산밥캣 (241560), 두산에너빌리티 (034020), HD현대인프라코어 (042670), HD현대건설기계 (267270), 수산종공업, 현대에버다임 (041440), 대모 (317850), 스페코 (013810), 수성웹툰 (084180), 전진건설로봇 (079900)"
건설용 ,유통,,,혜인,혜인 (003010)
산업용 ,기계,,,"DN오토모티브, 삼익THK, 에이비프로바이오, 스맥, 화천기계, 모델솔루션, 화천기공, 대성하이텍, 무진플라임, 협진, 넥스턴바이오,에이치케이, 한국정밀기계","DN오토모티브 (007340), 삼익THK (004380), 에이비프로바이오 (195990), 스맥 (099440), 화천기계 (010660), 모델솔루션 (417970), 화천기공 (000850), 대성하이텍 (129920), 무진플라임, 협진 (138360), 넥스턴바이오, 에이치케이 (044780), 한국정밀기계 (101680)"
산업용 ,철도,,,"현대로템, 대아티아이, 다원시스, 중앙첨단소재","현대로템 (064350), 대아티아이 (045390), 다원시스 (068240), 중앙첨단소재 (051980)"
산업용 ,농기계,,,"TYM, 대동, 아세아텍","TYM (002900), 대동 (000490), 아세아텍 (050860)"
산업용 ,소방 설비,,,파라텍,파라텍 (033540)
산업용 ,엘리베이터,,,현대엘리베이터,현대엘리베이터 (017800)
방위산업,,,,"한화에어로스페이스, 한국항공우주, LIG넥스원, 한화시스템, 아이쓰리시스템, 아스트, 이노스페이스, 켄코아에어로스페이스, 퍼스텍, 빅텍, 컨텍, 휴니드, 제노코,기산텔레콤, 코츠테크놀로지, 이엠코리아, 하이즈항공, 웨이비스, 루미르, 한화인더스트리얼솔루션즈, RF시스템즈","한화에어로스페이스 (012450), 한국항공우주 (047810), LIG넥스원 (079550), 한화시스템 (272210), 아이쓰리시스템 (214430), 아스트 (067390), 이노스페이스 (462350), 켄코아에어로스페이스 (274090), 퍼스텍 (010820), 빅텍 (065450), 컨텍 (451760), 휴니드 (005870), 제노코 (361390), 기산텔레콤 (035460), 코츠테크놀로지 (448710), 이엠코리아 (095190), 하이즈항공 (221840), 웨이비스 (289930), 루미르 (474170), 한화인더스트리얼솔루션즈, RF시스템즈 (474610)"
자동화,스마트팩토리,,,"포스코DX, 에스에프에이, 디와이피엔에프, 현대무벡스, 톱텍, 유일로보틱스, 에스엠코어, 에스피시스템스, TPC, 제니스","포스코DX (022100), 에스에프에이 (056190), 디와이피엔에프 (104460), 현대무벡스 (319400), 톱텍 (108230), 유일로보틱스 (388720), 에스엠코어 (007820), 에스피시스템스 (317830), TPC (048770), 제니스"
자동화,로봇,,,"두산로보틱스, 레인보우로보틱스, 휴림로봇, 씨피시스템, 로보티즈, 로보스타, 유진로봇, 알에스오토메이션, 피앤메스미캐닉스, 뉴로메카, 티로보틱스, 엔젤로보틱스, 케이엔알시스템, 씨메스, 클로봇","두산로보틱스 (454910), 레인보우로보틱스 (277810), 휴림로봇 (090710), 씨피시스템 (413630), 로보티즈 (108490), 로보스타 (090360), 유진로봇 (056080), 알에스오토메이션 (140670), 피앤메스미캐닉스, 뉴로메카 (348340), 티로보틱스 (117730), 엔젤로보틱스 (455900), 케이엔알시스템 (199430), 씨메스 (475400), 클로봇 (466100)"
자동화,로봇,감속기,,"에스피지, 하이젠알앤엠, 에스비비테크, 해성에어로보틱스","에스피지 (058610), 하이젠알앤엠 (160190), 에스비비테크 (389500), 해성에어로보틱스 (059270)"
부품,,,,"염풍정밀, 와이지-원, 우진, 한신기계, 코메론, 케이피에프, 티에스넥스젠, 제일연마, 기신정기, 우림피티에스, 부스타, 대동기어, 에이테크솔루션, 대창솔루션, 신진에스엠, 에너토크, 유진테크놀로지, 서암기계공업","염풍정밀, 와이지-원 (019210), 우진 (105840), 한신기계 (011700), 코메론 (049430), 케이피에프 (024880), 티에스넥스젠 (043220), 제일연마 (001560), 기신정기 (092440), 우림피티에스 (101170), 부스타 (008470), 대동기어 (008830), 에이테크솔루션 (071670), 대창솔루션 (096350), 신진에스엠 (138070), 에너토크 (019990), 유진테크놀로지 (240600), 서암기계공업 (100660)"
부품,관 이음쇠,,,"태광, 비엠티, 하이록코리아, 성광번드, 디케이락, 한선엔지니어링","태광 (023160), 비엠티 (086670), 하이록코리아 (013030), 성광번드, 디케이락 (105740), 한선엔지니어링 (452280)"
부품,밸브,,,"화성밸브, 에썬테크, 포메탈, 스톰테크","화성밸브 (039610), 에썬테크, 포메탈 (119500), 스톰테크 (352090)"
웨이퍼 연마 ,,,,"케이씨텍,솔브레인","케이씨텍 (281820), 솔브레인 (357780)"
세정,과산화수소 ,,,한솔케미칼,한솔케미칼 (014680)
포토 ,펠리클,,,에프에스티,에프에스티 (036810)
포토 ,마스크,,,에스앤에스텍,에스앤에스텍 (101490)
포토 ,케미컬,,,"동진쎄미켐, 이엔에프테크놀로지, 와이씨켐, 퓨릿","동진쎄미켐 (005290), 이엔에프테크놀로지 (102710), 와이씨켐 (112290), 퓨릿 (445180)"
식각,쿼츠,,,"원익QnC, 비씨엔씨","원익QnC (074600), 비씨엔씨 (146320)"
식각,링,,,"티씨케이, 하나머티리얼즈, 월덱스, 케이엔제이","티씨케이 (064760), 하나머티리얼즈 (166090), 월덱스 (101160), 케이엔제이 (272110)"
식각,케미컬,,,"솔브레인, 램테크놀러지, 이엔에프테크놀로지","솔브레인 (357780), 램테크놀러지 (171010), 이엔에프테크놀로지 (102710)"
증착,전구체,,,"레이크머티리얼즈, 디엔에프, 메카로, 제이아이테크","레이크머티리얼즈 (281740), 디엔에프 (092070), 메카로 (241770), 제이아이테크 (417500)"
증착,케미컬,,,"한솔케마칼, 이엔에프테크놀로지, 램테크놀러지","한솔케마칼, 이엔에프테크놀로지 (102710), 램테크놀러지 (171010)"
테스트 ,세라믹,,,샘씨엔에스,샘씨엔에스 (252990)
테스트 ,프로브 카드,,,"피엠티, 테에스이, 마이크로투나노","피엠티 (147760), 테에스이, 마이크로투나노 (424980)"
테스트 ,소켓,,,"리노공업, 마이크로컨텍솔, ISC, 오킨스전자, 메가터치","리노공업 (058470), 마이크로컨텍솔 (098120), ISC (095340), 오킨스전자 (080580), 메가터치 (446540)"
패키징,와이어,,,엠케이전자,엠케이전자 (033160)
패키징,솔더블,,,"덕산하이메탈, 비케이홀딩스","덕산하이메탈 (077360), 비케이홀딩스 (050090)"
패키징,리드 프레임,,,"해성디에스, HLB이노베이션","해성디에스 (195870), HLB이노베이션 (024850)"
기타,필터,,,"젬백스,에코프로에이치엔","젬백스 (082270), 에코프로에이치엔 (383310)"
기타,부품 소재,,,"아스플로, KX하이텍, 그린리소스","아스플로 (159010), KX하이텍 (052900), 그린리소스 (402490)"
기타,특수 가스 ,,,"원익머트리얼즈, 후성, 케이엔더블유, 티이엠씨","원익머트리얼즈 (104830), 후성 (093370), 케이엔더블유 (105330), 티이엠씨 (425040)"
열처리,,,,HPSP,HPSP (403870)
현상,,,,"더코디,워트","더코디 (224060), 워트 (396470)"
식각,,,,"피에스케이, 브이엠","피에스케이 (319660), 브이엠 (089970)"
